0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,996.2,1022.7,--,3.7,0.2,6.2,78,0.4,北西,,,--,--,,,20.0
2,996.0,1022.6,--,2.7,-0.2,6.0,81,1.2,北,,,--,--,,,20.0
3,995.8,1022.4,--,2.6,0.2,6.2,84,1.2,北,,,--,--,,,20.0
4,995.5,1022.1,--,2.7,0.0,6.1,82,1.3,南南西,,,--,--,,,20.0
5,995.5,1022.1,--,1.8,-0.4,5.9,85,0.5,北北西,,,--,--,,,20.0
6,995.9,1022.7,--,0.8,-0.5,5.9,91,0.3,南南西,0.0,,--,--,,,20.0
7,995.9,1022.5,--,2.2,0.0,6.1,85,1.3,北北東,0.6,,--,--,,,20.0
8,995.3,1021.6,--,5.2,0.8,6.5,73,1.2,北北西,1.0,,--,--,,,20.0
9,995.0,1021.0,--,8.1,1.3,6.7,62,0.6,北,1.0,,--,--,,,20.0
10,993.6,1019.4,--,10.2,1.1,6.6,53,1.6,西北西,1.0,,--,--,,,20.0
11,992.4,1017.8,--,13.3,1.9,7.0,46,1.7,北北西,1.0,,--,--,,,20.0
12,991.4,1016.6,--,14.8,2.4,7.2,43,1.3,北西,0.9,,--,--,,,20.0
13,989.9,1014.8,--,17.8,1.7,6.9,34,1.6,南西,0.8,,--,--,,,20.0
14,989.5,1014.3,--,18.9,-1.0,5.7,26,2.0,北北東,0.9,,--,--,,,20.0
15,989.2,1013.9,--,20.2,-5.6,4.0,17,2.1,北,0.8,,--,--,,,20.0
16,989.2,1013.9,--,19.6,-3.9,4.6,20,2.8,北西,0.0,,--,--,,,20.0
17,989.3,1014.2,--,18.2,-2.7,5.0,24,2.2,西北西,0.0,,--,--,,,20.0
18,990.3,1015.4,--,15.7,0.3,6.2,35,3.7,西北西,0.0,,--,--,,,20.0
19,990.4,1015.7,--,14.1,-1.1,5.6,35,0.4,北,,,--,--,,,20.0
20,990.2,1015.6,--,13.4,0.4,6.3,41,1.2,東南東,,,--,--,,,20.0
21,989.8,1015.3,--,12.1,3.1,7.6,54,0.9,南西,,,--,--,,,20.0
22,989.5,1015.0,--,11.4,3.4,7.8,58,0.8,西南西,,,--,--,,,20.0
23,988.6,1014.1,--,11.2,3.5,7.8,59,1.0,北北東,,,--,--,,,20.0
24,987.9,1013.5,--,10.2,3.9,8.1,65,0.4,東南東,,,--,--,,,20.0
